name;email;color;salary;isActive
Robyn;Adela82@gmail.com;#590c02;3505;true
Elisa;Lysanne.Kunze@yahoo.com;#042656;7706;true
Jovany;Laurianne_Ortiz@hotmail.com;#6d7903;3736;false
Chanelle;Thaddeus.Stehr49@hotmail.com;#435752;0907;true
Holly;Mazie.Hahn79@hotmail.com;#323456;6283;true
Gerson;Jamel0@yahoo.com;#133b37;5686;false
Queenie;Gaetano_Thiel33@hotmail.com;#17424a;5481;true
Nicolas;Gina_Daugherty-Farrell4@yahoo.com;#4e141c;3755;false
Hassie;Ena41@yahoo.com;#676843;3166;false
Arely;Omari_Langworth73@hotmail.com;#2d6a4e;5594;true
Willie;Enid_Collier59@yahoo.com;#2f6724;0651;false
Raphael;Mac_McLaughlin@gmail.com;#4b7054;9455;false
Lindsey;Clemens.Reinger@gmail.com;#593648;1606;false
Velva;Jalen10@hotmail.com;#786f1f;6095;true
Amparo;Leone_Schmitt80@hotmail.com;#7a3c00;5100;false
Koby;Kristofer_Jast21@gmail.com;#2c3679;8614;false
Jeffery;Jameson.Smith@gmail.com;#4d1917;7447;false
Madaline;Niko.Russel82@hotmail.com;#027265;8467;false
Marcus;Clair.Beahan4@gmail.com;#164925;2239;false
Jarrell;Brendan.Fadel@yahoo.com;#525373;3925;true
Claudia;Annette58@gmail.com;#401c5e;3239;true
Blair;Sherwood79@gmail.com;#2e0b37;0201;true
Anastasia;Susanna_Feest57@yahoo.com;#096f4e;2602;true
Krystel;Godfrey.Schaefer@yahoo.com;#761610;2212;false
Amos;Marcelo79@gmail.com;#150d2d;3749;false
Wendy;Annie3@yahoo.com;#5e6279;1422;true
Silas;Floyd.Kassulke@gmail.com;#70480b;3072;false
Lue;Viva_Conroy@yahoo.com;#3b3657;6548;false
Maddison;Janiya_Franey@hotmail.com;#7f5075;1282;false
Loraine;Elias_Koss@yahoo.com;#1e201a;0402;false
Orie;Estrella.Hamill91@gmail.com;#284d12;8800;false
Cecelia;Neha34@hotmail.com;#215e47;2273;false
Nicholas;Derek85@hotmail.com;#750669;9015;true
Eugene;Shirley_King68@gmail.com;#6b5a58;0210;false
Beverly;Liliane44@gmail.com;#3a513a;6136;true
Annette;Joel.West@hotmail.com;#2c5861;8083;false
Jerrod;Tyshawn_Schuppe@gmail.com;#646a39;4720;true
Cielo;Cora46@yahoo.com;#527a57;1839;false
Michaela;Abelardo19@hotmail.com;#6e1a73;0082;true
Gaston;Leo54@hotmail.com;#153e2f;9031;false
Jocelyn;Fredy_Dooley80@yahoo.com;#686133;4634;false
Larissa;Candelario.Trantow46@yahoo.com;#174564;5116;true
Aaron;Olga.OHara@yahoo.com;#707149;1052;true
Aiden;Delia78@gmail.com;#236272;7573;false
Camron;Edwardo72@gmail.com;#31662d;4730;true
Cynthia;Elmer12@hotmail.com;#7b0a07;0023;true
Lesly;Krystal.Hegmann@gmail.com;#492420;5643;true
Demario;Nikko.Schultz@gmail.com;#6c575f;1626;true
Meghan;Nat_Sipes@gmail.com;#303819;4980;true
Sanford;Coby_Bashirian12@gmail.com;#2b4f41;4743;false
Jasen;Destany.Wyman@gmail.com;#0c5d70;3112;true
Dina;Delphine.OKeefe@hotmail.com;#76371b;3978;false
Kay;Freddie.Runte@gmail.com;#1b487b;1042;true
